SPREADSHEET									
									
FileID	FolioPage	SequentialPage	Author	CommentaryDate	CommentaryContent	Heading	HeadingTranslation	Transcription	TranscriptionTranslation
add_6782_f008	8	15	JS	26-Feb-13	"Continuing from Add MS 6782 f. 7 , and following the same pattern, the calculations on this page may be interpreted as $ \sqrt{10 \times \sqrt{{10}^{\frac{3}{4}}}} = {10}^{\frac{7}{8}} = 7.4989... $ and $ \sqrt{10 \times \sqrt{{10}^{\frac{7}{8}}}} = {10}^{\frac{15}{16}} = 8.6596... $. "	fc.2.) 			
add_6782_f008v	8v	16	JS	26-Feb-13	"Continuing from Add MS 6782 f. 7 , and following the same pattern, the calculations on this page may be interpreted as $ \sqrt{10 \times \sqrt{{10}^{\frac{63}{64}}}} = {10}^{\frac{127}{128}} = 9.8217... $ and $ \sqrt{10 \times \sqrt{{10}^{\frac{127}{128}}}} = {10}^{\frac{255}{256}} = 9.9104... $. "	fc.4.) 			
add_6782_f009	9	17	JS	26-Feb-13	"Continuing from Add MS 6782 f. 7 , and following the same pattern, the calculations on this page may be interpreted as $ \sqrt{10 \times \sqrt{{10}^{\frac{255}{256}}}} = {10}^{\frac{511}{512}} = 9.9551... $ and $ \sqrt{10 \times \sqrt{{10}^{\frac{511}{512}}}} = {10}^{\frac{1023}{1024}} = 9.9775... $. "	fc.5.) 			
add_6782_f009v	9v	18	JS	26-Feb-13	"Continuing from Add MS 6782, f. 7, and following the same pattern, the calculation on this page may be interpreted as $ \sqrt{10 \times \sqrt{{10}^{\frac{4095}{4096}}}} = {10}^{\frac{8191}{1928}} = 9.9971... $. "	fc.7.) 			
add_6782_f010	10	19	JS	26-Feb-13	"Continuing from Add MS 6782 f. 7 , and following the same pattern, the calculations on this page may be interpreted as $ \sqrt{10 \times \sqrt{{10}^{\frac{1023}{1024}}}} = {10}^{\frac{2047}{2048}} = 9.9887... $ and $ \sqrt{10 \times \sqrt{{10}^{\frac{2047}{2048}}}} = {10}^{\frac{4095}{4096}} = 9.9943... $. "	fc.6.) 			
add_6782_f010v	10v	20	JS	26-Feb-13	"The calculations on this page may be interpreted as $ \frac{1}{.99887...} = 1.000281... $. (See also Add MS 6782, f. 26, for the same calculation.) "	fc.8.) 			
add_6782_f011	11	21	JS	26-Feb-13	The calculations on this page may be interpreted as $ \frac{.99941...}{.99887...} = 9.9887... $. 	fc.9.) 			
add_6782_f011v	11v	22	JS	9-Nov-12	Blank page 				
add_6782_f012	12	23	JS	26-Feb-13	"Across the top of the page are the terms of a geometric progression with multiplier $ \frac{a}{b} $. The rest of the page contains a table of successive squares of the number that may be interpreted as $ .99999999998877 $. Selected powers are then added to give $ .99999999998877^{25920000} $. A calculation on the following page, Add MS 6782 f. 13 , shows that $ 25920000 = 2 \times 60^4 $, that is, the number of half-fifths of a degree in a minute (where a degree is subdivided in the traditional way into minutes, seconds, thirds, fourths, and fifths by successive divisions by 60). The entries in the table are calculated in the subsequent pages labelled c.2 to c.7; see: 'Spirals, series c' . "	c.1.) 			
add_6782_f012	12	23				c.1.) 		$ = am $ in charta (ca.1.) 	
add_6782_f012v	12v	24	JS	9-Nov-12	Blank page 				
add_6782_f013	13	25	JS	10-Oct-13	"The calculation in the upper left corner shows the number of seconds, thirds, fourths, and fifths in a minute of a degree. The number of fifths (12960000) is then doubled to give the number of half-fifths (25920000). In the upper right corner, Harriot calculates that if 1 minute is represented by 1 mile, a half-fifth of a degree would be represented by $ \frac{1}{432} $ of an inch, a distance that, as he observes, would be invisible. "	c.1.) 			
add_6782_f013	13	25				c.1.) 		"1000 pases = 1' or mile = 5000 feet = 60,000 yinches $ \frac{1}{432} $ ynch is the quantity of $ \frac{1}{2} $ which is invisible. "	
add_6782_f013v	13v	26	JS	9-Nov-12	Blank page 				
add_6782_f014	14	27	JS	26-Feb-13	"Here Harriot devises a method of squaring .99999999997755 by treating it as $ 1.00000000000000 - 0.00000000010000 + 0.00000000007755 $. After carrying out the first calculation in full, he sees that he can shorten the method by neglecting very small terms. He also sees another short cut by letting $ f = c - d $. He continues squaring until he reaches $ .99999999856320 $. "	c.2.) 			
add_6782_f014v	14v	28	JS	26-Feb-13	Rough work 				
add_6782_f015	15	29	JS	26-Feb-13	"Harriot continues from the previous page, Add MS 6782 f. 14 , successively squaring until he reaches $ .99999995402240 $. "	c.3.) 			
add_6782_f015v	15v	30	JS	9-Nov-12	Blank page 				
add_6782_f016	16	31	JS	26-Feb-13	"Harriot continues from the previous page, Add MS 6782 f. 15 , successively squaring by the method devised on Add MS 6782 f. 14 , until he reaches $ .99999852871772 $. "	c.4.) 			
add_6782_f016v	16v	32	JS	9-Nov-12	Blank page 				
add_6782_f017	17	33	JS	26-Feb-13	"Calculations for sheet c.4, Add MS 6782 f. 16 . "	c.4.)2 			
add_6782_f017v	17v	34	JS	26-Feb-13	Further calculations for the surrounding sheets. 				
add_6782_f018	18	35	JS	26-Feb-13	"Harriot continues from Add MS 6782 f. 16 , successively squaring by the method devised on Add MS 6782 f. 14 , until he reaches $ .99981169346159 $. This is the final entry above the horizontal dividing line in Add MS 6782 f. 12 . "	c.5.) 			
add_6782_f018v	18v	36	JS	9-Nov-12	Blank page 				
add_6782_f019	19	37	JS	26-Feb-13	Calculations of numbers that appear below the horizontal dividing line in Add MS 6782 f. 12 . 	c.6.) 			
add_6782_f019v	19v	38	JS	9-Nov-12	Blank page 				
add_6782_f020	20	39	JS	26-Feb-13	"Calculations for sheet c.6, Add MS 6782 f. 19 . "	c.6.)2 			
add_6782_f020v	20v	40	JS	9-Nov-12	Blank page 				
add_6782_f021	21	41	JS	26-Feb-13	Calculations of numbers that appear below the horizontal dividing line in Add MS 6782 f. 12 .. 	c.7.) 			
add_6782_f021v	21v	42	JS	9-Nov-12	Blank page 				
add_6782_f022	22	43	JS	10-Mar-13	"The numbers in the broad central column, above the horizontal dividing line, form a decreasing geometric progression. Harriot used large integers to avoid fractional parts, but if the first number is interpreted as 100, the succeeding numbers down to the dividing line represent $ 10 \times {10}^{\frac{15}{16}} $, $ 10 \times {10}^{\frac{14}{16}} $, $ 10 \times {10}^{\frac{13}{16}} $, ... $ 10 \times {10}^{\frac{2}{16}} $, $ 10 \times {10}^{\frac{1}{16}} $, $ 10 \times {10}^0 $. The numbers below the dividing line may be interpreted in a similar way as $ 10 \times {10}^{\frac{1}{32}} $, $ 10 \times {10}^{\frac{1}{64}} $, $ 10 \times {10}^{\frac{1}{1128}} $, ... $ 10 \times {10}^{\frac{1}{2048}} $, $ 10 \times {10}^{\frac{1}{4096}} $, $ 10 \times {10}^{\frac{1}{8192}} $. The numbers marked with asterisks from $ 31.622... $ downwards have been calculated as successive square roots in sheets paginated fb.1 to fb.6, in Add MS 6782 f. 23 to f. 25 . Those marked with asterisks in the upper part of the table can be calculated as reciprocals of those in the lower part. The numbers in the narrow left-hand column, above the horizontal dividing line, form an increasing arithmetic progression with common difference 512. (In the narrow right-hand column, part of the same progression is shown in reverse order.) Thus Harriot has matched an arithmetic progression with common difference 512 to a geometric progression with common ratio $ \frac{1}{{10}^{\frac{1}{16}}} $. The matching continues in finer detail below the dividing line for the entries in the geometric progression between $ 11.5478... $ and $ 10 $. Such a matching, between an arithmetic progression and a geometric progression, is the foundation of any system of logarithms. Harriot notes that calculating the numbers in the central column as terms in a geometric progression can lead to differences in the final figures as compared with calculating them as square roots. The number $ 31,622... $ halfway down the column is written here as it was found by calculation in Add MS 6782 f. 7 , with the final figures $ ... 683,79 $. Calculating the same entry by multiplication, as part of a geometric progression, has instead given Harriot the final figures as $ ... 683,76 $. Similar discrepancies are noted elsewhere. "	fb.1.) 			
add_6782_f022	22	43	JS	10-Mar-13		fb.1.) 		Ultimæ figuræ numerorum antea inventorum; iam per multiplicationem aliter prodeunt Ut notatur hic. 	The last figures of the numbers found before now come out otherwise by multiplication. As noted here. 
add_6782_f022v	22v	44	JS	9-Nov-12	Blank page 				
add_6782_f023	23	45	JS	10-Mar-13	The calculation in the upper half of this page may be interpreted as $ \sqrt{{10}^{\frac{1}{8}}} = {10}^{\frac{1}{16}} = 1.1547... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{{10}^{\frac{1}{16}}} = {10}^{\frac{1}{32}} = 1.0746... $. 	fb.2.) 			
add_6782_f023v	23v	46	JS	10-Mar-13	The calculation in the upper half of this page may be interpreted as $ \sqrt{{10}^{\frac{1}{128}}} = {10}^{\frac{1}{256}} = 1.0090... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{{10}^{\frac{1}{256}}} = {10}^{\frac{1}{512}} = 1.0045... $. 	fb.4.) 			
add_6782_f024	24	47	JS	10-Mar-13	The calculation in the upper half of this page may be interpreted as $ \sqrt{3.1622...} = \sqrt{{10}^{\frac{1}{2}}} = {10}^{\frac{1}{4}} = 1.7782... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{{10}^{\frac{1}{4}}} = {10}^{\frac{1}{8}} = 1.3335... $. 	fb.1.) 			
add_6782_f024v	24v	48	JS	10-Mar-13	The calculation in the upper half of this page may be interpreted as $ \sqrt{{10}^{\frac{1}{32}}} = {10}^{\frac{1}{64}} = 1.0366... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{{10}^{\frac{1}{64}}} = {10}^{\frac{1}{128}} = 1.0181... $. 	fb.3.) 			
add_6782_f025	25	49	JS	10-Mar-13	The calculation in the upper half of this page may be interpreted as $ \sqrt{{10}^{\frac{1}{512}}} = {10}^{\frac{1}{1024}} = 1.0022... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{{10}^{\frac{1}{1024}}} = {10}^{\frac{1}{2048}} = 1.0011... $. 	fb.5. 			
add_6782_f025v	25v	50	JS	10-Mar-13	The calculation in the upper half of this page may be interpreted as $ \sqrt{{10}^{\frac{1}{2048}}} = {10}^{\frac{1}{4096}} = 1.0005... $. The calculation in the lower half of the page may be interpreted as $ \sqrt{{10}^{\frac{1}{4096}}} = {10}^{\frac{1}{8192}} = 1.0002... $. 	fb.6.) 			
add_6782_f026	26	51	JS	10-Mar-13	"The calculation in the upper half of this page may be interpreted as $ \frac{1}{.999718...} = 1.0002811... $. (See also Add MS 6782 f. 10v , for the same calculation.) "	fa.1.) fb.1.) 			
add_6782_f026v	26v	52	JS	9-Nov-12	Blank page 				
add_6782_f027	27	53	JS	28-Mar-12	"A word square based on the words HENRICUS PRINCEPS FECIT (Prince Henry made it). The number 184,756 appears four times in the bottom right. In each quarter of the square, there are 184,756 ways of reading HENRICUS PRINCEPS FECIT, starting from the centre and ending at a corner. Thus there are 739,024 ways in total. This number may have been written on the page but has now disappeared (see Add MS 6782 f. 28 for a similar calculation). For the calculations leading to 184,756 see Add MS 6782 f. 57 and f. 58 . "				
add_6782_f027v	27v	54	JS	9-Nov-12	Blank page 				
add_6782_f028	28	55	JS	28-Mar-12	"A word square based on the words SILO PRINCEPS FECIT (Prince Silo made it). A $ 15 \times 19 $ rectangular version of this arrangement, carved in stone, is to be found in the church of San Juan Apostol y Evangelista in Santianes de Pravia, northern Spain, commemorating Silo, king of Asturias (774 to 783). The number 12,780 appears four times in the bottom left hand corner of the page. In each quarter of the square, there are 12,780 ways of reading SILO PRINCEPS FECIT, starting from the centre and ending at a corner. Thus there are 51,480 ways in total. For the calculations leading to 12,780 see Add MS 6782 f. 57 and f. 58 . "				
add_6782_f028v	28v	56	JS	9-Nov-12	Blank page 				
add_6782_f029	29	57	JS	28-Apr-12	This folio shows calculations for solving the equation $ 1z + 3a = 276 $ (in modern notation $ x^2 + 3x = 276 $). 				
add_6782_f029v	29v	58	JS	28-Mar-12	Triangular numbers arranged as dot patterns. The arrangement of Pascal's triangle on the right shows how each row is obtained by summing two copies of the preceding row. 				
add_6782_f030	30	59	JS	28-Mar-12	"The upper left quarter of the page contains two versions of Pascal's triangle, in different layouts. The upper right quarter shows the entries of the triangle generated by successive multiplications of $ (b + c) $. The lower right quarter shows the entries of the triangle generated by successive multiplications of $ (1 + 1) $. The lower left quarter demonstrates, following from the multiplications on the right, that the entries in each row sum to a power of 2. "	De combinationibus 	On combinations 		
add_6782_f030	30	59				De combinationibus 	On combinations 	To serve ones turne. 	
add_6782_f030	30	59				De combinationibus 	On combinations 	To do one a sound turne. 	
add_6782_f030v	30v	60	JS	8-Aug-12	"This page contains rough work on combinations of the letters $ a $, $ b $, $ c $, $ d $. It also shows the numerals from 1 to 9 written with a medieval form for '4', and as figures composed only of straight lines. "				
add_6782_f031	31	61	JS	28-Mar-12	"The reference to 'Saxton's great map' is to Christopher Saxton's county maps for England and Wales, published from 1579 onwards (Saxton 1579) . Units of measurement: a pase or pace (from Latin passus) was the length of a double stride, about 5 feet or 1.5 metres. Thus one square pase was 25 square feet. The Roman mile was 1000 pases. For some rough working for this page see Add MS 6788 f. 547v . "	An æstimable reckoning how many persons may inhabit the whole world. 			
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		Supositions. 	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		". The semiperimeter of a circle. 31,415,926 "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		". The semidiameter. 10,000,000 "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"The compasse of the earth after the rate of 60 miles to a degree. 21,600 miles "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"Ergo: The halfe compasse. 10,300 miles "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"The semidiameter of the earth. 3,437 miles. 747 pases. "	
add_6782_f031	31	61	JS	28-Mar-12		An æstimable reckoning how many persons may inhabit the whole world. 		"$ 3,437,747 \times 10,300,000 = 35,408,794,100,000 = $ plano circuli. quod $ \frac{1}{4} $ : terræ et aquæ. "	a plane circle which equals $ \frac{1}{4} $ the surface of land and water. 
add_6782_f031	31	61	JS	28-Mar-12		An æstimable reckoning how many persons may inhabit the whole world. 		"Ergo: $ 35,408,794,100,000 \times 4 = $ 141,635,176,400,000 maris et terræ. "	The surface of sea and land. 
add_6782_f031	31	61	JS	28-Mar-12		An æstimable reckoning how many persons may inhabit the whole world. 		"70,817,588,200,000 = Terræ: vel maris. "	The surface of land or sea. 
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"49,987 miles square in England ( by Saxtons great map) after the rate of 60 miles to a degree including rivers & all wastes. "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"It lacketh but 13 miles of 50,000. "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"50,000 miles. 5,000,000 persons. supposed. 1 mile. 100 persons. 70,817,588 miles. 7,081,758,800. persons in the earth. "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"1,000,000 pp. 100 persons. 10000 pp. 1 person. 10000 = 250,000 = $ 5\frac{8}{11} $ acres. (note rivers & waste included as above.) "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		6 men may stand in a pase square. 	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		"Therefore 6,000,000 in one mile square. $ 7,081,58,800 \times 6,000,000 \times 42,490,552,800,000,0 $. "	
add_6782_f031	31	61				An æstimable reckoning how many persons may inhabit the whole world. 		The number of persons yt may stand on ye earth. 	
add_6782_f031v	31v	62	JS	28-Mar-12	"For some of the calculations behind this page see Add MS 6788 f. 536 , f. 537 , f. 541 . "	The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 			
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		Supposing. 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		1. That the first man & woman have a child every yeare one yeare male & in other female 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		2. That the children when they are 20 yeares old & upward do also every yeare beget a child one yeare male & an other yeare female 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		3. That all are living at the end of 240 yeares. 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		"The number of males, 5,034,303,437. females, 5,034,303,437. persons, 10,068,606,874. (recconed in c) "	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		That in 400 yeares upon the former suppositions there would be more men then can stand on the face of the whole earth. 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		(In db) I find that in 340 yeares they will make a number of 14 places. 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		Therefore in 400 yeares they will make a number of 16 places which is more then can stand on the face of the earth (.) 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		"How many persons have had being in 6000, yeares and in what roome they may stand. "	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		"Supposing 1. That the world when it was replenished to the number of 7,000,000,000. () they were alwayes one time with an other the same number. "	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		2. That in 40 yeares there is (one time with an other) as I have proved in an other page (& agreeth with Nombers .26.64 a new generation. 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		Therefore in 6000 yeares there are 150 generations. 	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		"Therefore there have been of persons in 6000 yeres $ 7,000,000,000 \times 150 = 1,050,000,000,000 $. persons. "	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		"There being 50,000 miles square in England; there may stand in England 300,000,000,000. persons. "	
add_6782_f031v	31v	62				The issue from one man & one woman in 240 yeares may be more then can inhabit the whole earth. 		"The former number is three times greater, & therefore there place of standing must be also 3 times greater then England. "	
add_6782_f032	32	63	JS	28-Mar-12	Another copy of the table shown on Add MS 6782 f. 63 . 				
add_6782_f032v	32v	64	JS	9-Nov-12	Blank page 				
add_6782_f033	33	65	JS	28-Mar-12	"This folio gives systematic lists of all combinations (without repetition) of the letters $ a $, $ ab $, $ abc $, $ abcd $, $ abcde $, $ abcdef $. In each case the combinations are listed as single letters, pairs, triples, and so on. Combinations of the same size are listed alphabetically, thus $ abc $, $ abd $, and so on. (In the final column the triples are to be read downwards from $ abc $ to $ aef $ then back up from $ bef $ to $ def $.) Numbers written to the right of the columns show the number of combinations in each part of the list. Totals are given at the bottom. A table mid-left lists numbers of the form $ 2^{n - 1} $ and $ 2^{n + 1} - 1 $ from $ n = 1 $. The latter are the numbers that appear as totals. A table lower left shows how combinations of $ abc $ may be derived from those for $ ab $ by adding $ c $ to the end of each of them and then also listing $ c $ as a singleton. "	Of combinations 			
add_6782_f033v	33v	66	JS	9-Nov-12	Blank page 				
add_6782_f034	34	67	JS	28-Mar-12	"This folio gives systematic lists of all combinations (without repetition) of $ a $, $ ab $, $ abc $, $ abcd $, $ abcde $, $ abcdef $. In each case the combinations are listed as single letters, pairs, triples, and so on. Combinations of the same kind are listed alphabetically, thus $ abc $, $ abd $, and so on. Numbers written to the right of the columns show the number of combinations in each part of the list. "	Of combinations 			
add_6782_f034v	34v	68	JS	9-Nov-12	Blank page 				
add_6782_f035	35	69	JS	28-Mar-12	"This folio shows combinations (without repetition) of $ a $, $ ab $, $ abc $, $ abcd $, with each list constructed from the previous one. Combinations of $ abcd $, for example, are found from combinations of $ abc $ by adding $ d $ to each of them, together with $ d $ as a singleton. Numbers to the right of each column show the number of combinations in each part of the list. Totals are given at the bottom. Harriot uses the word 'complications' for combinations of more than one letter, and 'simples' for single letters. At the end of the page Harriot reaches the conclusion that if null combinations are counted, then the total number of combinations will be a power of 2. "	Of combinations 			
add_6782_f035	35	69				Of combinations 		By this manner of construction & generation of the variety of combinations or complications: these propositions are manifest: 	
add_6782_f035	35	69				Of combinations 		"The nomber of complications with the nomber of there simples: is double to the nomber of complications with there simples, of the next praecedent order: & one more. "	
add_6782_f035	35	69				Of combinations 		In any order of complications: 	
add_6782_f035	35	69				Of combinations 		"The nomber of Bynaryes Ternaryes Quaternaries &c. is æquall to the nomber, in the precedent order, of: Binaryes & Simples. Ternarys & Binaryes. Quaternaryes & Ternaryes. & c. "	
add_6782_f035	35	69				Of combinations 		"Hereby is also manifest, the reason & order of the construction of the table of combinations by nombers which in an other paper. "	
add_6782_f035	35	69				Of combinations 		In some cases rationall or negative is added: as of the species $ ab $. question may be made whether an other thing hath acte upon. $ a $. or $ b $. or both that is $ ab $. or neither. 	
add_6782_f035	35	69				Of combinations 		And such negatives may be understode of all the rest. 	
add_6782_f035	35	69				Of combinations 		And thus the sommes of every order wilbe one more; and there progression wilbe. 2. 4. 8. 16. 32. &c. 	
add_6782_f035	35	69				Of combinations 		"$ z $ is $ a $, or not. "	
add_6782_f035	35	69				Of combinations 		$ z $ is $ a $. or $ b $. or $ ab $. or not. 	
add_6782_f035	35	69				Of combinations 		$ z $ is $ a $. or $ b $. or $ c $. or $ ab $. or $ ac $. or $ bc $. or $ abc $. or not. &c. 	
add_6782_f035v	35v	70	JS	14-Nov-12	Rough work 				
add_6782_f036	36	71	JS	28-Mar-12	"Columns 1 to 10 of Pascal's triangle, continued in the lower half of the page as far as column 18. The table is continued to column 24 on Add MS 6782 f. 37 . "	Of combinations 			
add_6782_f036	36	71				Of combinations 		These nombers are also the nombers which are used for the extraction of rootes. 	
add_6782_f036v	36v	72	JS	9-Nov-12	Blank page 				
add_6782_f037	37	73	JS	28-Mar-12	"Pascal's triangle as far as column 24, continued from Add MS 6782 f. 36 . "	Of combinations 			
add_6782_f037v	37v	74	JS	14-Nov-12	Rough work 				
add_6782_f038	38	75	JS	28-Mar-12	"On this page, as on Add MS 6782 f. 36 , Harriot recognizes the usefulness of the triangular numbers both for calculating numbers of combinations and for extraction of roots. In the note in the bottom right hand corner of the page, Harriot mentions Boethius, Jordanus, and Maurolico as writers on figurate numbers. His source for both Boethius and Jordanus was probably Jacques Lefevre d'Etaples (Jacob Faber Stapulensis), Epitome, compendiosaque introductio in libros arithmeticos diui Severini Boetij (1503, 1522), which includes a comparison of the 'De institutione' of Boethius with the 'De arithmetica' of Jordanus. His source for Maurolico was the Arithmeticorum libri duo (Maurolico 1575) , which he cited several times elsewhere. "	Of combinations 			
add_6782_f038	38	75				Of combinations 		A Generall rule to get the mayne summe of all the complications of any Nomber of Species without the table of combinations. 	
add_6782_f038	38	75				Of combinations 		"According to the nomber of species: understand as many termes to be gotten in continuall proportion or progression, beginning at a unite & making every terme double to his precedent: the last terme lesse by a unite is the summe desired. or the somme of the progression. "	
add_6782_f038	38	75				Of combinations 		As for example. 	
add_6782_f038	38	75				Of combinations 		I wold know all the complications of 6. species. together with the nomber of the simples. 	
add_6782_f038	38	75				Of combinations 		"the sixth terme of such a progression I spake of, is 32. "	
add_6782_f038	38	75				Of combinations 		"63, the summe of all the complications with the nomber of simples which were sought. "	
add_6782_f038	38	75				Of combinations 		If the number of species be greate; the last terme desired is to be gotten by rule of progression in arithmeticke. 	
add_6782_f038	38	75				Of combinations 		The reason of the rule is easily to be conceaved out of the particular constructions in an other paper annexed. 	
add_6782_f038	38	75				Of combinations 		A Generall methode for the particular summes of complications : 	
add_6782_f038	38	75				Of combinations 		As for example of 6. 	
add_6782_f038	38	75				Of combinations 		first in 6 there are 6 diverse simple species. 	
add_6782_f038	38	75				Of combinations 		Then I wold know how many complications of 2 wilbe found in 6; also how many of 3. & 4. &c. 	
add_6782_f038	38	75				Of combinations 		The Theoreme for the rule is this: 	
add_6782_f038	38	75				Of combinations 		As 2 hath in proportion to the second nomber from the nomber of species towardes a unite: so hath the nomber of variety of unites to the somme of the complications of 2. 	
add_6782_f038	38	75				Of combinations 		"And as 3 hath in proportion to the third nomber from the nomber of species towardes a unite: so hath the nomber of compli- cations of 2, last gotten; to the somme of the complications of 3. "	
add_6782_f038	38	75				Of combinations 		"& so forth, as wilbe manifest by the example following. "	
add_6782_f038	38	75				Of combinations 		An example for 20. 	
add_6782_f038	38	75				Of combinations 		The practice is playne. 	
add_6782_f038	38	75				Of combinations 		"The theoreme is to be demonstrated out of Boetius or Maurolicus, & I thinke Jordanus. "	
add_6782_f038	38	75				Of combinations 		"by the doctrine of genera- ting triangular nombers & of triangular, piramidal. & of piramidal, triangle- pyramidal &c. "	
add_6782_f038	38	75				Of combinations 		And is worth the noting for some other respects especially for getting the nomber of that belongs to any dignityes for extracting there roote; seeing those nombers are the very same. 	
add_6782_f038v	38v	76	JS	14-Nov-12	Rough work 				
